"","error1","error2"
"1",-0.00568757699338107,0.0740035727502217
"2",0.559335878730836,0.485963570919784
"3",0.470689160788272,0.295459980277056
"4",0.455022542037472,0.273164658444641
"5",0.211239116433816,0.0771235749679722
"6",-0.0778925065498814,0.0316147634904027
"7",-0.469624188767613,-0.261474208083838
"8",-0.199312459470637,-0.330830021930219
"9",-0.291913240000306,-0.481694591033892
"10",0.352640139316788,-0.396136412673986
"11",0.468953408866197,-0.245277940184108
"12",0.5468543597388,-0.270145900302586
"13",0.0582930525936289,0.24477263149244
"14",-0.0171733641067826,0.139009169765122
"15",0.134902943509451,0.0687940991824192
"16",0.460520689624194,0.591793999967592
"17",1.14931556474882,1.09311667149142
"18",0.976555750979832,0.721202458408226
"19",0.888056545306789,0.651300677500356
"20",0.859446453871682,0.654653929032596
"21",0.814418349033193,0.615331369690804
"22",0.65108164707129,0.563759584779939
"23",0.181962511292667,0.272172897987685
"24",-0.885288862361868,-0.870423577777048
"25",-0.601394433396843,-0.666073591159397
"26",-0.443327204748174,-0.378000192031313
"27",0.11084543755971,0.0171825980190636
"28",-0.38267783808649,-0.364525096913418
"29",-1.17023900612947,-0.957624275446344
"30",-1.15974325116892,-0.999112792224251
"31",-0.127721423682544,0.0351321121830965
"32",0.0668355999899886,0.0963894235644096
"33",0.363833279601305,0.136347018387248
"34",0.274789168314976,0.276274621697111
"35",0.239585345952811,0.272054209173222
"36",0.0455620980913345,0.191758273266768
"37",-0.569666617762405,-0.463236531771544
"38",-0.485085566384766,-0.330644089032575
"39",-0.163205089514424,-0.014304917158162
"40",-0.114555491263157,0.0636299136744682
"41",0.24412458521586,0.332348599029289
"42",0.897701654125457,0.738735854552674
"43",0.874660332993688,0.788469036767602
"44",0.59527223250137,0.293619392530135
"45",0.588704419348105,0.36380950255167
"46",0.524032910294372,0.349590978474257
"47",0.474582706011761,0.360530896812806
"48",-0.741724681304509,-0.425724174601287
"49",-0.342955119600209,-0.276838900769079
"50",-0.131998602747322,-0.00425881044359855
"51",-0.0258458940806863,0.0456808301548071
"52",0.191039315987933,0.0496406887295713
"53",0.34239315502428,0.0839824869550094
"54",0.212757797310149,-0.130385396445565
"55",0.240272038563621,0.24433893337309
"56",0.241464646094292,0.761809764204621
"57",0.276095874847652,0.776006775026902
"58",0.407841500162446,0.97333291893499
"59",0.642788609703908,0.945827989765247
"60",0.629962524670812,0.879825787642009
"61",0.908483690192125,0.971642492535943
"62",0.822511762374102,0.816344009510416
"63",0.322166795127465,0.283065690734118
"64",0.21072889318361,0.168853439407345
"65",0.20176876915875,0.198733117703124
"66",0.0326138317552775,0.0202031289081965
"67",-0.0606747474888962,-0.0561572768618994
"68",-0.0944131051523858,-0.134375830888052
"69",-0.135884020608829,-0.154189777714901
"70",-0.956101529831201,-0.630668197743681
"71",-0.385558927256413,-0.161784652712091
"72",-0.492043696950018,-0.274694457803148
"73",-0.459908037822934,-0.17608931967749
"74",0.0603547338895103,0.044101597062487
"75",0.051272074969372,-0.115526485900459
"76",-0.509474001821649,-0.0120348175356479
"77",-0.0180573133505355,0.033012608226815
"78",-0.174753414569367,0.0786458562453918
"79",0.587243950145132,0.426237731038574
"80",0.817202275190851,0.697211885384045
"81",0.154159901779837,0.132036444488776
"82",-0.0527879558452069,0.143464315948879
"83",-0.0966487374404323,0.111908827809795
"84",-0.0254051121228391,0.0198770899717022
"85",0.116961836470023,0.130885545599158
"86",0.131146436568558,0.0419199101531547
"87",0.403899416670704,0.204550456111099
"88",-0.0546231479163186,-0.384167790033624
"89",0.00360764880457687,-0.163649236465726
"90",0.0792818434916409,0.135719668405907
"91",-0.117745574382617,0.245930616439814
"92",-0.46112426812048,-0.14426146368713
"93",-0.140164416689401,0.044409495975632
"94",0.143228452134262,0.223362396070192
"95",0.593584050268135,0.353062245112858
"96",0.781086059802355,0.558725127561853
"97",0.939415111044041,0.774798137843574
"98",0.991893528301361,0.842297844536954
"99",0.0279359368408176,-0.0452639592221882
"100",-0.120382724590084,0.00705805527442571
"101",-0.161585510209474,-0.122811364408039
"102",-0.1252035146672,0.0428196648060011
"103",0.0849720179216913,0.0525477675973454
"104",0.0924323457794367,0.0802463331270378
"105",0.155839705474381,-0.021287404438227
"106",0.286954810651206,0.105987319297039
"107",-0.371911995758007,-0.173376737508939
"108",-0.471894287079396,-0.266025835594768
"109",-0.548684483321488,-0.334930694369527
"110",-0.380915513270237,-0.293726125207749
"111",-0.656146271726723,-0.277832952484202
"112",-0.539934752061286,-0.277596819779506
"113",-0.329288030666589,-0.121726376420695
"114",-0.206328098740152,-0.0959176708771441
"115",-0.769684951898265,-0.532807241210742
"116",-1.00862801249857,-0.711855868964799
"117",0.074653601249703,0.126787088884933
"118",0.105075543986755,-0.0212298565119404
"119",0.259145964835247,0.183281590765338
"120",0.153931504435421,0.239720770586882
"121",-0.220420548006354,-0.0340797934110775
"122",-0.54924849536987,-0.490547664701754
"123",-0.440691724356608,-0.420709339440648
"124",-0.189521249979195,-0.185907960601801
"125",0.0243011196226428,0.0722058685627687
"126",-0.20039876541961,-0.11587742824101
"127",-0.614579430251935,-0.0966960348662926
