"","residual1","residual2"
"1",0.258430567355693,0.484658925648245
"2",0.273290523273183,0.522600780445135
"3",0.271047813547369,0.510327031257028
"4",0.399206685119903,0.660701938772235
"5",0.281885667729864,0.458407846497436
"6",0.20009115975928,0.442441834250233
"7",0.131591333972075,0.342671021009483
"8",0.0677393975978465,0.259779476664544
"9",-0.00744456358034211,0.109468029768801
"10",-0.0448310151474826,0.139890863313349
"11",0.0297459869991629,0.192778543951966
"12",0.0469195726332467,0.237993291816503
"13",0.00833378009153133,0.239140836328295
"14",0.148259566517525,0.170313866749914
"15",0.3214846272754,0.289780982050693
"16",0.494074874969837,0.340528839562749
"17",0.639160462055696,0.677316033455112
"18",0.66028289959043,0.718053092929542
"19",0.666596885944436,0.763870693363569
"20",0.616488347592613,0.616084609244875
"21",0.50057436209085,0.355294598475179
"22",0.486084105487226,0.318268383300177
"23",0.480365617490987,0.336593603182926
"24",0.404440340154849,0.220731334385942
"25",0.301271334885343,0.152143814586518
"26",0.143698499835879,0.109950179560992
"27",-0.013751455377969,0.0401035991203066
"28",-0.0626850073262678,0.140990211662341
"29",-0.146060262737402,0.100532289023854
"30",-0.235691432561864,0.0668369566132915
"31",-0.34265081045101,-0.126164692212212
"32",-0.532698038569374,-0.317323314918801
"33",-0.565164972609259,-0.341360208376824
"34",-0.230935678199125,-0.53389451302478
"35",-0.224915434797399,-0.496200533647291
"36",-0.304632440970375,-0.527057485577542
"37",-0.277772314864763,-0.440186051038338
"38",-0.262860430208511,-0.421215962824331
"39",-0.365330087990382,-0.613921856466896
"40",-0.52725136177008,-0.708859594818826
"41",-0.663773820745545,-0.791123888977849
"42",-0.679068631735569,-0.760312443095542
"43",-0.749199414995062,-0.742924286757665
"44",-0.82974301691404,-0.858524492256147
"45",-0.739954088745867,-0.805179598310546
"46",-0.659547433324927,-0.770134025072409
"47",-0.531610181196802,-0.739676436682414
"48",-0.422394081419471,-0.683956867924966
"49",-0.30758220426562,-0.601141755075061
"50",-0.265998749019843,-0.59692344875349
"51",-0.25394956757603,-0.569844077382865
"52",-0.24610387961881,-0.587463972066194
"53",-0.26348432567656,-0.607358339808962
"54",-0.223691132928556,-0.695241612875243
"55",0.0961597633364425,-0.38254125158913
"56",0.158248809316277,-0.381458289253793
"57",0.212184480368293,-0.342150558674669
"58",0.278196090910479,-0.293220577543825
"59",0.309940172442841,-0.408121741731463
"60",0.424481920967176,-0.291374115987612
"61",0.46039985639847,-0.255908166786883
"62",0.499647015012709,-0.2058239181879
"63",0.538337518892784,-0.198716446518262
"64",0.544296309925813,-0.188523432877449
"65",0.550217278583679,-0.185270741100408
"66",0.540646335543415,-0.306227507423873
"67",0.568232096268169,-0.282291653403717
"68",0.580630890023306,-0.270066558328978
"69",0.00654566554961082,0.243059439730181
"70",0.0101982180131033,0.217262021927537
"71",0.0765982641555957,0.168477395227218
"72",0.0496070256944721,0.135262587614402
"73",0.04433836905269,0.161511752940951
"74",0.078265156872824,0.0738871811348581
"75",0.148354895833217,0.206052561104876
"76",0.351677547155025,0.503308512853659
"77",0.52133864616472,0.546443532161806
"78",0.606349625274642,0.576780371566719
"79",0.751380724251412,0.65009506988623
"80",0.962921734984324,0.850469134802329
"81",1.20748621040723,1.24508290056997
"82",1.19824877014301,1.23738431110832
"83",1.17221772431267,1.11055613459983
"84",1.08304490916802,1.0257436262707
"85",1.00976892973879,0.914538873279439
"86",0.900044877964178,0.664213303313618
"87",0.887263927990926,0.652743343959492
"88",0.892045446483392,0.659961470053386
"89",0.831414027312945,0.624298831111566
"90",0.765008348305513,0.647764695840913
"91",0.6808453011105,0.555664127458869
"92",0.621076466881577,0.59320499529367
"93",0.523873365445874,0.547699524019149
"94",0.411191617304689,0.427986687448532
"95",0.305047976309984,0.376851840024059
"96",0.116556223438267,0.243405354296068
"97",0.0810849292077507,0.205776145197828
"98",-0.979534797153962,-0.87336789791282
"99",-1.00768004292356,-0.953664804937022
"100",-0.936161913940505,-0.973567159678315
"101",-0.968201975999452,-1.00927532690874
"102",-0.741997687953318,-0.629849595874297
"103",-0.675805983719255,-0.644723369885112
"104",-0.587590682122773,-0.625259563239937
"105",-0.582974764412074,-0.576157288460604
"106",-0.486323272308039,-0.552336801965189
"107",-0.405052338585509,-0.507818406267157
"108",-0.364409236874313,-0.460413822826201
"109",-0.283280055046486,-0.404279942454524
"110",-0.2187314344031,-0.307107750807705
"111",-0.128094114129198,-0.321964373504435
"112",-0.0268645096783,-0.287469676453679
"113",0.0734082524330971,0.0355997064796019
"114",0.0611395940790845,-0.0499911907357958
"115",0.00626081168894617,-0.21159828053021
"116",-0.0725809990823083,-0.308348931927492
"117",-0.0888136539056235,-0.288964229949268
"118",-0.144058687188655,-0.37677036131367
"119",-0.190853849101067,-0.349973898767207
"120",-0.170890680095027,-0.290376378581885
"121",-0.190923987712463,-0.398352874454006
